@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute lefthand_pos_body-1 numeric
@attribute lefthand_pos_body-2 numeric
@attribute reverb_values-1 numeric
@attribute reverb_values-2 numeric

@data
88,'2018/10/10 16:07:03:682',2,-770.388062,337.446991,1,0
89,'2018/10/10 16:07:03:717',2,-771.618652,339.975159,1,0
90,'2018/10/10 16:07:03:748',2,-770.911133,339.115051,1,0
91,'2018/10/10 16:07:03:780',2,-770.928894,339.512451,1,0
92,'2018/10/10 16:07:03:820',2,-768.481567,341.365082,1,0
93,'2018/10/10 16:07:03:847',2,-766.633362,340.66275,1,0
94,'2018/10/10 16:07:03:884',2,-767.30957,341.023682,1,0
95,'2018/10/10 16:07:03:917',2,-768.553101,339.114655,1,0
96,'2018/10/10 16:07:03:947',2,-767.751099,340.634003,1,0
97,'2018/10/10 16:07:14:398',3,-261.868042,443.085388,0,1
98,'2018/10/10 16:07:14:430',3,-262.020935,442.690826,0,1
99,'2018/10/10 16:07:14:464',3,-260.90274,441.430084,0,1
100,'2018/10/10 16:07:14:495',3,-260.59024,441.290314,0,1
101,'2018/10/10 16:07:14:559',3,-259.477234,440.796234,0,1
102,'2018/10/10 16:07:14:603',3,-258.22345,444.190613,0,1
103,'2018/10/10 16:07:14:663',3,-256.431854,449.632355,0,1
104,'2018/10/10 16:07:14:696',3,-256.241211,453.941528,0,1
105,'2018/10/10 16:07:14:727',3,-256.807129,456.111053,0,1
106,'2018/10/10 16:07:14:760',3,-256.371216,455.995117,0,1
107,'2018/10/10 16:07:14:795',3,-255.752945,455.138702,0,1
108,'2018/10/10 16:07:14:835',3,-255.755814,456.625397,0,1
109,'2018/10/10 16:07:14:861',3,-256.940704,456.8367,0,1
110,'2018/10/10 16:07:14:895',3,-257.500732,456.928864,0,1
111,'2018/10/10 16:07:14:928',3,-257.424469,454.910187,0,1
112,'2018/10/10 16:07:14:961',3,-257.301331,455.634308,0,1
113,'2018/10/10 16:07:14:998',3,-255.703247,455.72818,0,1
114,'2018/10/10 16:07:15:027',3,-256.042633,456.142639,0,1
115,'2018/10/10 16:07:15:066',3,-255.454422,456.9646,0,1
116,'2018/10/10 16:07:15:097',3,-256.676758,456.521973,0,1
117,'2018/10/10 16:07:15:134',3,-257.54126,457.328369,0,1
118,'2018/10/10 16:07:15:166',3,-257.741119,456.375031,0,1
119,'2018/10/10 16:07:15:197',3,-258.608917,455.728455,0,1
120,'2018/10/10 16:07:15:230',3,-259.223938,456.043365,0,1
121,'2018/10/10 16:07:15:317',3,-260.039948,456.95462,0,1
122,'2018/10/10 16:07:15:335',3,-261.04306,456.397247,0,1
123,'2018/10/10 16:07:15:362',3,-261.387024,456.260864,0,1
124,'2018/10/10 16:07:15:396',3,-262.359344,457.028595,0,1
125,'2018/10/10 16:07:15:428',3,-262.198059,459.296997,0,1
126,'2018/10/10 16:07:15:461',3,-262.204163,459.792755,0,1
127,'2018/10/10 16:07:15:495',3,-262.269043,460.097046,0,1
128,'2018/10/10 16:07:15:528',3,-261.958435,460.90152,0,1
129,'2018/10/10 16:07:15:560',3,-262.037781,460.261261,0,1
130,'2018/10/10 16:07:15:596',3,-261.612061,461.046875,0,1
131,'2018/10/10 16:07:15:629',3,-262.076385,460.654022,0,1
132,'2018/10/10 16:07:15:662',3,-262.02243,460.495026,0,1
133,'2018/10/10 16:07:15:696',3,-261.73819,460.861023,0,1
134,'2018/10/10 16:07:15:727',3,-261.218201,460.335876,0,1
135,'2018/10/10 16:07:15:765',3,-260.553223,459.770172,0,1
136,'2018/10/10 16:07:15:796',3,-260.937836,458.848694,0,1
137,'2018/10/10 16:07:15:829',3,-261.531799,460.304932,0,1
138,'2018/10/10 16:07:15:865',3,-262.304993,460.940399,0,1
139,'2018/10/10 16:07:15:897',3,-262.036072,460.036407,0,1
140,'2018/10/10 16:07:15:927',3,-262.258942,459.46579,0,1
141,'2018/10/10 16:07:15:968',3,-263.114014,460.019348,0,1
142,'2018/10/10 16:07:15:996',3,-262.83847,459.136414,0,1
143,'2018/10/10 16:07:16:028',3,-263.17276,458.56308,0,1
144,'2018/10/10 16:07:16:070',3,-263.495911,457.862793,0,1
145,'2018/10/10 16:07:16:096',3,-263.6026,458.077942,0,1
146,'2018/10/10 16:07:16:132',3,-263.753143,460.593048,0,1
147,'2018/10/10 16:07:16:164',3,-263.260864,460.579651,0,1
148,'2018/10/10 16:07:16:197',3,-263.091431,459.748077,0,1
149,'2018/10/10 16:07:16:230',3,-263.204926,460.11969,0,1
150,'2018/10/10 16:07:16:266',3,-262.951233,461.407166,0,1
151,'2018/10/10 16:07:16:296',3,-262.649963,461.466522,0,1
152,'2018/10/10 16:07:16:336',3,-262.746216,461.843475,0,1
153,'2018/10/10 16:07:16:364',3,-262.083954,460.362366,0,1
154,'2018/10/10 16:07:16:396',3,-262.323486,460.931091,0,1
155,'2018/10/10 16:07:16:428',3,-261.309601,461.102966,0,1
156,'2018/10/10 16:07:16:463',3,-260.517975,461.782867,0,1
157,'2018/10/10 16:07:21:245',4,-751.763916,515.161865,1,1
158,'2018/10/10 16:07:21:268',4,-751.816467,514.788086,1,1
159,'2018/10/10 16:07:21:312',4,-751.304871,515.560364,1,1
