@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute reverb_values-1 numeric
@attribute reverb_values-2 numeric

@data
76,'2018/10/06 17:21:02:815',2,-793.025452,500.449432,200.913208,1,0
77,'2018/10/06 17:21:02:853',2,-793.120972,499.838318,204.903198,1,0
78,'2018/10/06 17:21:02:886',2,-785.9245,499.271393,196.176025,1,0
79,'2018/10/06 17:21:02:921',2,-783.657166,498.957184,194.259888,1,0
80,'2018/10/06 17:21:02:952',2,-785.109253,498.844818,192.963867,1,0
81,'2018/10/06 17:21:02:985',2,-785.545654,500.910339,191.748779,1,0
82,'2018/10/06 17:21:03:016',2,-784.827942,501.614075,189.555054,1,0
83,'2018/10/06 17:21:03:051',2,-784.778687,502.720459,189.693604,1,0
84,'2018/10/06 17:21:03:086',2,-784.58429,502.95282,190.350342,1,0
85,'2018/10/06 17:21:03:116',2,-783.305054,499.29834,191.707764,1,0
86,'2018/10/06 17:21:03:157',2,-786.157776,498.079254,194.03772,1,0
87,'2018/10/06 17:21:03:184',2,-781.607727,497.581268,189.835693,1,0
88,'2018/10/06 17:21:03:220',2,-781.809631,495.07608,191.701294,1,0
89,'2018/10/06 17:21:03:255',2,-783.871155,496.884308,192.304565,1,0
90,'2018/10/06 17:21:03:288',2,-780.221619,501.392059,185.799805,1,0
91,'2018/10/06 17:21:03:326',2,-774.752625,501.818054,184.055542,1,0
92,'2018/10/06 17:21:03:357',2,-773.688843,503.385712,183.054199,1,0
93,'2018/10/06 17:21:03:383',2,-778.462524,500.439972,185.792725,1,0
94,'2018/10/06 17:21:03:425',2,-781.610718,501.325653,187.404663,1,0
95,'2018/10/06 17:21:03:453',2,-777.993164,501.755005,188.238403,1,0
96,'2018/10/06 17:21:03:485',2,-781.247803,503.018311,190.990967,1,0
97,'2018/10/06 17:21:03:521',2,-784.096863,503.320313,190.679932,1,0
98,'2018/10/06 17:21:03:557',2,-784.0755,501.070557,190.602295,1,0
99,'2018/10/06 17:21:03:583',2,-786.701416,499.226654,191.745239,1,0
100,'2018/10/06 17:21:03:620',2,-788.280029,500.940552,193.591309,1,0
101,'2018/10/06 17:21:03:657',2,-786.660095,500.300232,195.85144,1,0
102,'2018/10/06 17:21:03:685',2,-786.114502,497.416321,195.726318,1,0
103,'2018/10/06 17:21:03:725',2,-787.919861,496.184998,195.92627,1,0
104,'2018/10/06 17:21:03:758',2,-787.325623,497.929108,192.032227,1,0
105,'2018/10/06 17:21:03:783',2,-786.562073,501.442932,190.496094,1,0
106,'2018/10/06 17:21:03:826',2,-789.215759,497.422516,191.795166,1,0
107,'2018/10/06 17:21:03:854',2,-792.520081,499.752899,188.987427,1,0
108,'2018/10/06 17:21:03:884',2,-794.250366,503.768799,189.243164,1,0
109,'2018/10/06 17:21:03:925',2,-798.183105,501.122803,191.147705,1,0
110,'2018/10/06 17:21:03:957',2,-801.357178,502.494965,192.782471,1,0
111,'2018/10/06 17:21:03:984',2,-800.462463,498.871552,197.281982,1,0
112,'2018/10/06 17:21:04:025',2,-802.710083,498.242828,198.871704,1,0
113,'2018/10/06 17:21:04:059',2,-804.284058,498.54425,199.768555,1,0
114,'2018/10/06 17:21:04:089',2,-805.007507,501.877533,200.697388,1,0
115,'2018/10/06 17:21:04:122',2,-796.95575,502.401184,193.918579,1,0
116,'2018/10/06 17:21:28:383',3,-359.214844,340.377777,-530.712524,0,1
117,'2018/10/06 17:21:28:412',3,-357.362244,341.445221,-530.387695,0,1
118,'2018/10/06 17:21:28:450',3,-358.22702,341.802612,-529.390015,0,1
119,'2018/10/06 17:21:28:480',3,-356.861267,342.648651,-528.482788,0,1
120,'2018/10/06 17:21:28:516',3,-358.406616,342.577484,-528.015015,0,1
121,'2018/10/06 17:21:28:548',3,-356.495514,343.587402,-529.182007,0,1
122,'2018/10/06 17:21:28:582',3,-357.829346,343.004608,-528.363159,0,1
123,'2018/10/06 17:21:28:617',3,-358.092041,342.702209,-527.719482,0,1
124,'2018/10/06 17:21:28:644',3,-360.331055,340.547302,-526.671387,0,1
125,'2018/10/06 17:21:28:681',3,-359.058411,339.200439,-527.572754,0,1
126,'2018/10/06 17:21:28:717',3,-359.963379,337.49585,-527.803223,0,1
127,'2018/10/06 17:21:28:745',3,-360.313354,334.578339,-525.445068,0,1
128,'2018/10/06 17:21:28:781',3,-360.015198,334.780365,-526.725464,0,1
129,'2018/10/06 17:21:28:814',3,-359.393188,336.553864,-527.701538,0,1
130,'2018/10/06 17:21:28:852',3,-359.962097,337.409363,-528.293823,0,1
131,'2018/10/06 17:21:28:887',3,-359.930786,337.744904,-529.572876,0,1
132,'2018/10/06 17:21:28:916',3,-360.332642,337.844421,-530.059814,0,1
133,'2018/10/06 17:21:28:944',3,-359.952148,339.340302,-530.96875,0,1
134,'2018/10/06 17:21:28:983',3,-359.137817,340.201019,-531.63855,0,1
135,'2018/10/06 17:21:29:016',3,-360.144409,339.966125,-531.641602,0,1
136,'2018/10/06 17:21:29:049',3,-359.649658,339.873993,-532.01001,0,1
137,'2018/10/06 17:21:29:081',3,-359.097137,341.822144,-531.505371,0,1
138,'2018/10/06 17:21:29:118',3,-357.964996,341.437836,-532.141602,0,1
139,'2018/10/06 17:21:29:149',3,-358.321259,341.302917,-532.003418,0,1
140,'2018/10/06 17:21:29:184',3,-358.032257,342.110596,-532.326538,0,1
141,'2018/10/06 17:21:29:214',3,-358.227539,342.634125,-531.578247,0,1
142,'2018/10/06 17:21:29:251',3,-358.945099,343.623138,-531.311401,0,1
143,'2018/10/06 17:21:29:284',3,-358.915466,343.649506,-531.219727,0,1
144,'2018/10/06 17:21:29:313',3,-358.958496,342.160767,-532.322632,0,1
145,'2018/10/06 17:21:29:351',3,-359.054901,342.166199,-531.871582,0,1
146,'2018/10/06 17:21:29:381',3,-358.824036,342.300995,-531.320801,0,1
147,'2018/10/06 17:21:29:416',3,-359.237274,340.98349,-531.859375,0,1
148,'2018/10/06 17:21:29:451',3,-358.363251,342.824677,-531.325317,0,1
149,'2018/10/06 17:21:29:482',3,-357.418701,343.257111,-531.419678,0,1
150,'2018/10/06 17:21:29:514',3,-357.860718,343.281982,-531.865601,0,1
151,'2018/10/06 17:21:29:550',3,-358.022766,343.028595,-532.102173,0,1
152,'2018/10/06 17:21:29:583',3,-357.034149,343.501007,-531.429932,0,1
153,'2018/10/06 17:21:29:619',3,-356.812683,340.910095,-531.201416,0,1
154,'2018/10/06 17:21:29:650',3,-355.57251,338.409241,-531.065063,0,1
155,'2018/10/06 17:21:29:691',3,-355.752991,337.235779,-530.60791,0,1
156,'2018/10/06 17:21:29:715',3,-354.883545,336.868256,-530.015503,0,1
157,'2018/10/06 17:21:29:749',3,-356.510681,338.184448,-530.193848,0,1
158,'2018/10/06 17:21:29:782',3,-356.111755,340.228699,-529.392944,0,1
159,'2018/10/06 17:21:29:814',3,-355.916595,341.158508,-529.144287,0,1
160,'2018/10/06 17:21:29:850',3,-356.753265,342.161652,-529.098755,0,1
161,'2018/10/06 17:21:29:885',3,-356.286865,342.569031,-529.07251,0,1
162,'2018/10/06 17:21:29:912',3,-355.132507,343.347778,-528.916626,0,1
163,'2018/10/06 17:21:29:949',3,-352.983673,344.074707,-530.414063,0,1
164,'2018/10/06 17:21:29:982',3,-354.851959,343.460175,-530.182983,0,1
165,'2018/10/06 17:21:30:013',3,-356.361938,343.561951,-530.443481,0,1
166,'2018/10/06 17:21:30:049',3,-356.891479,344.682739,-529.349121,0,1
167,'2018/10/06 17:21:30:082',3,-356.837677,344.776398,-529.043213,0,1
168,'2018/10/06 17:21:30:112',3,-357.262665,345.400665,-529.109375,0,1
169,'2018/10/06 17:21:30:148',3,-357.230896,345.952942,-528.914673,0,1
170,'2018/10/06 17:21:30:183',3,-356.739868,345.828552,-528.193115,0,1
171,'2018/10/06 17:21:30:212',3,-357.534973,345.308441,-528.727173,0,1
172,'2018/10/06 17:21:30:256',3,-357.556213,344.11908,-528.97876,0,1
