@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute y numeric
@attribute change_reverb_state-1 {0,1,2}

@data
115,'2018/10/06 17:23:02:049',3,-50.019302,2
116,'2018/10/06 17:23:02:082',3,-52.44368,2
117,'2018/10/06 17:23:02:118',3,-49.655338,2
118,'2018/10/06 17:23:02:149',3,-49.698975,2
119,'2018/10/06 17:23:02:182',3,-48.47121,2
120,'2018/10/06 17:23:02:217',3,-49.816166,2
121,'2018/10/06 17:23:02:250',3,-52.917595,2
122,'2018/10/06 17:23:02:281',3,-52.634369,2
123,'2018/10/06 17:23:02:317',3,-51.975849,2
124,'2018/10/06 17:23:02:350',3,-49.874134,2
125,'2018/10/06 17:23:02:381',3,-49.268589,2
126,'2018/10/06 17:23:02:417',3,-50.237564,2
127,'2018/10/06 17:23:02:449',3,-50.059502,2
128,'2018/10/06 17:23:02:481',3,-50.662922,2
129,'2018/10/06 17:23:02:517',3,-51.739456,2
130,'2018/10/06 17:23:02:554',3,-51.749496,2
131,'2018/10/06 17:23:02:584',3,-52.843498,2
132,'2018/10/06 17:23:02:622',3,-55.22974,2
133,'2018/10/06 17:23:02:656',3,-54.541672,2
134,'2018/10/06 17:23:02:687',3,-58.113792,2
135,'2018/10/06 17:23:02:718',3,-56.356064,2
136,'2018/10/06 17:23:02:751',3,-56.652588,2
137,'2018/10/06 17:23:02:781',3,-58.366531,2
138,'2018/10/06 17:23:02:824',3,-59.11058,2
139,'2018/10/06 17:23:02:853',3,-59.839424,2
140,'2018/10/06 17:23:02:881',3,-58.013218,2
141,'2018/10/06 17:23:02:917',3,-58.257397,2
142,'2018/10/06 17:23:02:950',3,-58.143566,2
143,'2018/10/06 17:23:02:982',3,-54.881275,2
144,'2018/10/06 17:23:03:017',3,-53.588287,2
145,'2018/10/06 17:23:03:054',3,-51.960579,2
146,'2018/10/06 17:23:03:115',3,-51.62796,2
147,'2018/10/06 17:23:03:136',3,-51.661331,2
148,'2018/10/06 17:23:03:153',3,-51.977982,2
149,'2018/10/06 17:23:03:182',3,-51.712631,2
150,'2018/10/06 17:23:03:218',3,-51.831482,2
151,'2018/10/06 17:23:03:251',3,-52.550629,2
152,'2018/10/06 17:23:03:287',3,-51.230579,2
153,'2018/10/06 17:23:03:319',3,-51.944557,2
154,'2018/10/06 17:23:03:356',3,-50.870308,2
155,'2018/10/06 17:23:03:385',3,-52.707298,2
156,'2018/10/06 17:23:03:417',3,-51.917274,2
157,'2018/10/06 17:23:03:449',3,-51.109791,2
158,'2018/10/06 17:23:03:490',3,-50.449326,2
159,'2018/10/06 17:23:03:518',3,-50.594501,2
160,'2018/10/06 17:23:03:550',3,-50.087021,2
161,'2018/10/06 17:23:03:585',3,-48.84127,2
162,'2018/10/06 17:23:10:136',4,-417.939667,2
163,'2018/10/06 17:23:10:161',4,-408.667175,2
