@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute reverb_values-1 numeric
@attribute reverb_values-2 numeric

@data
110,'2018/10/10 10:46:34:497',1,53,418,0,0
111,'2018/10/10 10:46:34:514',1,53,418,0,0
112,'2018/10/10 10:46:34:531',1,53,418,0,0
113,'2018/10/10 10:46:34:547',1,53,418,0,0
114,'2018/10/10 10:46:55:769',2,50,272,0.5,0
115,'2018/10/10 10:46:55:785',2,50,272,0.5,0
116,'2018/10/10 10:46:55:801',2,50,272,0.5,0
117,'2018/10/10 10:46:55:817',2,50,272,0.5,0
118,'2018/10/10 10:46:55:833',2,50,272,0.5,0
119,'2018/10/10 10:46:55:850',2,50,272,0.5,0
120,'2018/10/10 10:46:55:866',2,50,272,0.5,0
121,'2018/10/10 10:46:55:883',2,50,272,0.5,0
122,'2018/10/10 10:46:55:901',2,50,272,0.5,0
123,'2018/10/10 10:46:55:917',2,50,272,0.5,0
124,'2018/10/10 10:46:55:932',2,50,272,0.5,0
125,'2018/10/10 10:46:55:949',2,50,272,0.5,0
126,'2018/10/10 10:46:55:965',2,50,272,0.5,0
127,'2018/10/10 10:46:55:982',2,50,272,0.5,0
128,'2018/10/10 10:46:55:999',2,50,272,0.5,0
129,'2018/10/10 10:46:56:016',2,50,272,0.5,0
130,'2018/10/10 10:46:56:032',2,50,272,0.5,0
131,'2018/10/10 10:46:56:049',2,50,272,0.5,0
132,'2018/10/10 10:46:56:065',2,50,272,0.5,0
133,'2018/10/10 10:46:56:082',2,50,272,0.5,0
134,'2018/10/10 10:46:56:098',2,50,272,0.5,0
135,'2018/10/10 10:46:56:115',2,50,272,0.5,0
136,'2018/10/10 10:46:56:132',2,50,272,0.5,0
137,'2018/10/10 10:46:56:149',2,50,272,0.5,0
138,'2018/10/10 10:46:56:165',2,50,272,0.5,0
139,'2018/10/10 10:46:56:183',2,50,272,0.5,0
140,'2018/10/10 10:46:56:200',2,50,272,0.5,0
141,'2018/10/10 10:46:56:217',2,50,272,0.5,0
