@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute reverb_values-1 numeric
@attribute reverb_values-2 numeric

@data
434,'2018/10/10 10:47:30:631',5,564,126,1,1
435,'2018/10/10 10:47:30:648',5,564,126,1,1
436,'2018/10/10 10:47:30:666',5,564,126,1,1
437,'2018/10/10 10:47:30:685',5,564,126,1,1
438,'2018/10/10 10:47:30:698',5,564,126,1,1
439,'2018/10/10 10:47:30:714',5,564,126,1,1
440,'2018/10/10 10:47:30:730',5,564,126,1,1
441,'2018/10/10 10:47:30:747',5,564,126,1,1
442,'2018/10/10 10:47:30:764',5,564,126,1,1
443,'2018/10/10 10:47:30:781',5,564,126,1,1
444,'2018/10/10 10:47:30:797',5,564,126,1,1
445,'2018/10/10 10:47:30:814',5,564,126,1,1
446,'2018/10/10 10:47:30:831',5,564,126,1,1
447,'2018/10/10 10:47:30:846',5,564,126,1,1
448,'2018/10/10 10:47:30:864',5,564,126,1,1
449,'2018/10/10 10:47:30:881',5,564,126,1,1
450,'2018/10/10 10:47:30:897',5,564,126,1,1
451,'2018/10/10 10:47:30:914',5,564,126,1,1
452,'2018/10/10 10:47:30:930',5,564,126,1,1
453,'2018/10/10 10:47:30:947',5,564,126,1,1
454,'2018/10/10 10:47:30:964',5,564,126,1,1
455,'2018/10/10 10:47:30:981',5,564,126,1,1
456,'2018/10/10 10:47:30:998',5,564,126,1,1
457,'2018/10/10 10:47:31:015',5,564,126,1,1
458,'2018/10/10 10:47:31:032',5,564,126,1,1
459,'2018/10/10 10:47:31:048',5,564,126,1,1
460,'2018/10/10 10:47:31:065',5,564,126,1,1
461,'2018/10/10 10:47:31:082',5,564,126,1,1
462,'2018/10/10 10:47:31:098',5,564,126,1,1
463,'2018/10/10 10:47:31:114',5,564,126,1,1
464,'2018/10/10 10:47:31:130',5,564,126,1,1
465,'2018/10/10 10:47:31:148',5,564,126,1,1
466,'2018/10/10 10:47:31:164',5,564,126,1,1
467,'2018/10/10 10:47:31:182',5,564,126,1,1
468,'2018/10/10 10:47:31:196',5,564,126,1,1
469,'2018/10/10 10:47:31:212',5,564,126,1,1
470,'2018/10/10 10:47:31:228',5,564,126,1,1
471,'2018/10/10 10:47:31:245',5,564,126,1,1
472,'2018/10/10 10:47:31:261',5,564,126,1,1
473,'2018/10/10 10:47:31:280',5,564,126,1,1
474,'2018/10/10 10:47:31:297',5,564,126,1,1
475,'2018/10/10 10:47:31:313',5,564,126,1,1
476,'2018/10/10 10:47:31:333',5,564,126,1,1
477,'2018/10/10 10:47:31:348',5,564,126,1,1
478,'2018/10/10 10:47:31:364',5,564,126,1,1
479,'2018/10/10 10:47:31:382',5,564,126,1,1
480,'2018/10/10 10:47:31:399',5,564,126,1,1
481,'2018/10/10 10:47:31:415',5,564,126,1,1
482,'2018/10/10 10:47:31:434',5,564,126,1,1
483,'2018/10/10 10:47:31:447',5,564,126,1,1
484,'2018/10/10 10:47:31:464',5,564,126,1,1
485,'2018/10/10 10:47:31:480',5,564,126,1,1
486,'2018/10/10 10:47:31:497',5,564,126,1,1
487,'2018/10/10 10:47:31:514',5,564,126,1,1
488,'2018/10/10 10:47:31:531',5,564,126,1,1
489,'2018/10/10 10:47:31:547',5,564,126,1,1
490,'2018/10/10 10:47:31:564',5,564,126,1,1
491,'2018/10/10 10:47:31:580',5,564,126,1,1
492,'2018/10/10 10:47:31:597',5,564,126,1,1
493,'2018/10/10 10:47:31:613',5,564,126,1,1
494,'2018/10/10 10:47:31:629',5,564,126,1,1
495,'2018/10/10 10:47:31:646',5,564,126,1,1
496,'2018/10/10 10:47:31:663',5,564,126,1,1
497,'2018/10/10 10:47:31:679',5,564,126,1,1
498,'2018/10/10 10:47:31:696',5,564,126,1,1
499,'2018/10/10 10:47:31:713',5,564,126,1,1
500,'2018/10/10 10:47:31:730',5,564,126,1,1
501,'2018/10/10 10:47:31:746',5,564,126,1,1
502,'2018/10/10 10:47:31:763',5,564,126,1,1
503,'2018/10/10 10:47:31:780',5,564,126,1,1
504,'2018/10/10 10:47:31:797',5,564,126,1,1
505,'2018/10/10 10:47:31:813',5,564,126,1,1
506,'2018/10/10 10:47:31:830',5,564,126,1,1
507,'2018/10/10 10:47:31:846',5,564,126,1,1
508,'2018/10/10 10:47:31:863',5,564,126,1,1
509,'2018/10/10 10:47:31:879',5,564,126,1,1
510,'2018/10/10 10:47:31:896',5,564,126,1,1
511,'2018/10/10 10:47:31:911',5,564,126,1,1
512,'2018/10/10 10:47:31:929',5,564,126,1,1
513,'2018/10/10 10:47:31:944',5,564,126,1,1
514,'2018/10/10 10:47:31:961',5,564,126,1,1
515,'2018/10/10 10:47:31:978',5,564,126,1,1
516,'2018/10/10 10:47:31:997',5,564,126,1,1
517,'2018/10/10 10:47:32:014',5,564,126,1,1
518,'2018/10/10 10:47:32:030',5,564,126,1,1
519,'2018/10/10 10:47:32:047',5,564,126,1,1
520,'2018/10/10 10:47:32:063',5,564,126,1,1
521,'2018/10/10 10:47:32:079',5,564,126,1,1
522,'2018/10/10 10:47:32:096',5,564,126,1,1
523,'2018/10/10 10:47:32:113',5,564,126,1,1
524,'2018/10/10 10:47:32:129',5,564,126,1,1
525,'2018/10/10 10:47:32:145',5,564,126,1,1
526,'2018/10/10 10:47:32:162',5,564,126,1,1
527,'2018/10/10 10:47:32:179',5,564,126,1,1
528,'2018/10/10 10:47:32:196',5,564,126,1,1
529,'2018/10/10 10:47:32:215',5,564,126,1,1
530,'2018/10/10 10:47:32:229',5,564,126,1,1
531,'2018/10/10 10:47:32:245',5,564,126,1,1
532,'2018/10/10 10:47:32:261',5,564,126,1,1
533,'2018/10/10 10:47:32:277',5,564,126,1,1
534,'2018/10/10 10:47:32:294',5,564,126,1,1
535,'2018/10/10 10:47:32:311',5,564,126,1,1
536,'2018/10/10 10:47:32:327',5,564,126,1,1
537,'2018/10/10 10:47:32:343',5,564,126,1,1
538,'2018/10/10 10:47:32:359',5,564,126,1,1
539,'2018/10/10 10:47:32:377',5,564,126,1,1
540,'2018/10/10 10:47:32:396',5,564,126,1,1
541,'2018/10/10 10:47:32:412',5,564,126,1,1
542,'2018/10/10 10:47:32:430',5,564,126,1,1
543,'2018/10/10 10:47:32:446',5,564,126,1,1
544,'2018/10/10 10:47:32:463',5,564,126,1,1
